,Year,Country,교육_초등학교 순취학률_ODA,교육_초등학교 이수율_ODA,보건_영아 사망률_ODA,보건_신생아 사망률_ODA,보건_기대 수명_ODA,생산_서비스업 부가가치_ODA,생산_제조업 부가가치_ODA,생산_농작물 생산지수_ODA,생산_가축 생산지수_ODA,경제_1인당 GDP_ODA,빈곤 및 사회복지_빈곤율_ODA,빈곤 및 사회복지_1인당 GNI_ODA,빈곤 및 사회복지_의료 접근성_ODA,환경/기후_재생 에너지 사용률_ODA,환경/기후_대기오염 지수_ODA,환경/기후_CO2 배출량_ODA,new_cases_per_million,new_deaths_per_million,stringency_index,natural_disaster_count,log_battle_deaths,정부효율성,실업률,소득 불평등,정치 안정성,도시화율,환경적 지속가능성,인구밀도,산림면적 비율,농업 부가가치 비중,산업 부가가치 비중,작물 생산 지수,식량 생산 지수,"연간 물가상승률 (CPI 기준, %)",GDP 대비 공교육 지출 비율 (%),"인구 1,000명당 간호사 및 조산사 수",GDP 대비 보건 지출 비율 (%),정부예산 중 교육비 비중,중등학교 총등록률
26,2014,Comoros,1.87223,1.87223,5.8346540000000005,4.637052,1.197602,0.0,0.0,2.168675,2.168675,11.087523,18.998883,9.68226,11.250104,3.309014,3.309014,3.309014,0.0,0.0,0.0,2.0,0.0,-1.73866128921509,4.119,45.3,-0.186910167336464,28.338,,382.322944653412,19.1015583019882,30.0114514394749,11.6109251452812,98.72,99.0,,2.74472999572754,,5.23849726,18.8928909301758,60.5502056158561
27,2014,Costa Rica,5.001036,5.001036,0.480041,0.277708,0.202333,21.071511,17.248635,4.490368,4.490368,377.115597,68.440076,5.818047,27.923815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362441927194595,8.499,48.6,0.577418208122253,75.941,38.71,93.3630826478653,57.5139835487662,4.88788378992891,20.6164054193168,99.17,99.6,4.51920098516954,6.67952013015747,2.37,7.66376209,23.1095294952393,115.650009155273
28,2014,Cuba,1.091605,1.091605,4.029726,2.243553,1.786173,0.053178,0.3375669999999999,14.671216,14.671216,7.91459,35.77543,21.851231,16.594362,0.126669,0.126669,0.126669,0.0,0.0,0.0,0.0,0.0,-0.0352033153176308,2.7,,0.544822037220001,76.861,0.11,108.496202653336,30.1249759661604,3.93770588957314,22.1520752925073,97.18,97.45,,9.6074686050415,8.011,12.14121914,15.8017377853394,96.1426010131836
29,2014,Djibouti,3.520641,3.520641,6.745329,4.270603,2.474726,0.139999,0.01213,3.435188,3.435188,30.64245,47.589189,4.979453,30.82579,28.544998,28.544998,28.544998,0.0,0.0,0.0,0.0,0.0,-1.01611757278442,26.173,,-0.770232260227203,77.314,,43.2578515962036,0.241587575496117,1.22411023326762,11.612957172612,98.53,102.73,1.34186494340157,4.38407516479492,0.662,2.95930099,,
30,2014,Dominica,0.117656,0.117656,0.0,0.0,0.0,0.0,0.0,2.554475,2.554475,11.351394,0.929448,0.3795199999999999,0.549296,2.579939,2.579939,2.579939,0.0,0.0,0.0,0.0,0.0,0.16260926425457,,,1.05717813968658,69.28,,93.8306666666667,63.8266666666667,13.5810858914367,13.5409587791002,98.44,98.73,0.799250372687492,4.52459239959717,6.931,5.26141691,,100.783058166504
31,2014,Dominican Republic,42.818525,42.818525,51.328983,9.230626,42.098357,52.181593,9.389055,10.999928,10.999928,61.071775,65.650747,32.231645,60.129399,10.094002,10.094002,10.094002,0.0,0.0,0.0,1.0,0.0,-0.456834703683853,6.719,44.3,0.145934492349625,77.67,1.8,213.527799627406,43.4184226868143,4.83780303264764,28.3860007406051,97.53,96.53,2.99864226125219,3.62243437767029,1.249,4.79757166,21.5446033477783,80.1145401000977
32,2014,Ecuador,23.606429,23.606429,29.936306,7.017142000000001,22.919164,0.242292,47.830539,43.107082000000005,43.107082000000005,111.177485,209.992329,190.369059,26.592414,2.71793,2.71793,2.71793,0.0,0.0,0.0,0.0,0.0,-0.385554224252701,3.48,45.0,-0.0185332093387842,63.261,6.32,64.5640360766629,51.7836286036399,7.40439967003185,35.7119955282529,99.16,101.57,3.58922016616663,5.21020984649658,2.192,6.76601839,11.3273000717163,102.590339660645
33,2014,El Salvador,15.439468,15.439468,24.910899,3.629327,21.281572,10.489582,0.82124,7.099931,7.099931,41.036201,60.243348,42.107076,13.016953,2.3287400000000003,2.3287400000000003,2.3287400000000003,0.0,0.0,0.0,1.0,0.0,-0.025264136493206,4.154,41.6,-0.0245900042355061,68.874,37.34,297.439913127413,29.4826254826255,5.86687215376832,26.0135339989829,101.06,99.6,1.14134467538233,3.82416009902954,1.783,8.5989418,15.5803651809692,72.4806365966797
34,2014,Equatorial Guinea,0.641405,0.641405,4.504845,3.03505,1.469795,0.0,0.003056,0.014859,0.014859,0.076366,1.114586,1.083643,0.7119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.16266000270844,7.845,,-0.374146550893784,70.083,1.84,49.9047415329768,89.0758645276292,1.29424877164029,70.1909452181904,97.57,97.47,4.30999866149107,,,1.7540164,,
35,2014,Eritrea,1.981592,1.981592,16.826123000000003,15.775489,1.050634,0.0,0.011941,3.910355,3.910355,1.161501,8.918937,7.649953,21.53715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.68077206611633,5.43,,-0.805872619152069,37.59,0.06,25.572294764578,8.87519711563943,,,100.72,100.19,,,1.243,3.91432285,,47.6539001464844
